country,country_import_rank,trade_value_usd_thousand,priority_tier,company_name,rank_in_country,product_keyword,segment,website,phone,email,contact_person,address,source_url,source_type,notes
Montenegro,100,2265.20,Tier 3,VOLI Trade d.o.o. / HORECA,1,"fresh fruits and vegetables; horeca wholesale",wholesale procurement buyer/horeca distributor,https://kompanija.voli.me/,"+382 20 445 000; 020/445-049; 020/445-029",,,"Josipa Broza Blvd, Podgorica, Montenegro",https://kompanija.voli.me/en/horeca/,official website,"Official Voli pages state the HORECA center is the company's wholesale unit, covers the central, southern and northern regions of Montenegro, and serves more than 700 buyers annually. Voli's official navigation also links fruits and vegetables under the Horeca section. Garlic fit is inferred from Voli's fresh-produce, supermarket and HORECA wholesale platform rather than a public garlic SKU. Arivera Fruit is the strongest fresh-produce importer/wholesaler challenger lead, but Voli remains the top-ranked FCL prospect because of retail plus wholesale channel scale."
Cameroon,101,2209.48,Tier 3,3TG Cameroon,1,"vegetables and fruit; agri-food products",foodservice supplier/distributor,https://3tg-cm.com/,"(+237) 679 75 38 51; (+237) 233 430 822",sales@3tg-cm.com,,"Rue 2382, Bonapriso, Douala, Cameroon; BP: 15270 Akwa Cameroun",https://3tg-cm.com/our-services-all/fresh-vegetable-fruit/,official website,"Official 3TG pages state the company works with large local farmers and players in large local markets to provide high quality vegetables and fruits, while the company overview says its goal is to be the main supplier of ships, airports, hotels and restaurants. Garlic fit is inferred from the company's official fresh-vegetable sourcing and food-supply platform rather than a public garlic SKU. Promodis/Ngouchet is the strongest broad food-importer challenger and FoodHouse has direct garlic merchandising, but 3TG remains the top-ranked Cameroon FCL prospect because it combines fresh-produce sourcing, institutional supply and public contactability."
Mozambique,102,2094.25,Tier 3,Bindzu Agrobusiness e Consultoria Lda,1,"fruits, vegetables, cereals and legumes",produce wholesaler/distributor/market agent,https://www.bindzu.co.mz/,"+258 21 301718 | +258 87 203 0200",contact@bindzu.co.mz,,"Rufino de Oliveira Street, No. 97 Ground Floor Maputo - Mozambique",https://www.bindzu.co.mz/en/agenciamento-de-mercado,official website,"Official Bindzu pages state the company acts as a market agent for more than 100 farmers, supplies hospitals, hotels, restaurants and wholesale markets in Zimpeto and Fajardo, and manages daily movements of more than 100 tons of fruits, vegetables, cereals and legumes. Oceano is the strongest frozen/fresh food importer-distributor challenger, while Terramar/Nutritir, Procongel, SAJUP and Moz Ship Supply strengthen cold-chain and foodservice validation. Bindzu remains Mozambique's top-ranked FCL prospect because its official source shows the clearest fresh-produce throughput and multi-channel buyer coverage."
"Armenia","103","2072.97","Tier 3","Spayka LLC","1","fresh fruits and vegetables","agricultural trading company/exporter/produce wholesaler","https://www.spayka.am/","+374 60 704 444; +374 10 444 470","spayka@spayka.com","","70/18 Bagratunyats St., Yerevan 0007, RA","https://www.spayka.am/en/about_us_block/about_us.html","official website","Official Spayka pages describe the company as the leading agricultural holding in the region, a freight-forwarding company and exporter of fruits and vegetables to CIS, Gulf and European countries. The same official source states Spayka is the main exporter of fresh fruits and vegetables from Armenia with a 70 percent share, operates sorting and packaging lines, has a 12000-ton refrigeration complex and owns a fleet of more than 320 vehicles. Farmerup has the clearest direct public fresh-garlic SKU and Volza exposes Armenia fresh-garlic buyer names, but Spayka remains the top-ranked Armenia lead because official pages show the strongest produce, cold-chain and logistics scale for full-container qualification."
"Ghana","104","2045.53","Tier 3","Kwatsons West Africa Ltd. / MaxMart Distribution","1","dry, chilled and frozen food products; foodservice distribution","food importer/distributor/wholesaler/foodservice supplier","https://kwatsons.com/","0302819356; 0244273067; 0332027464; 0277782685","","Nabil Al Zahab, Food Service Manager","1st Spintex Close, Spintex Road, Accra; No. 11/8 Old John Sarbah Road, Takoradi, Ghana","https://kwatsons.com/contact-us","official website","Official Kwatsons pages describe a full-service distributor supplying specialty and world food brands to retail, wholesale and foodservice sectors throughout Ghana and West Africa. The company states it has operated in Ghana since 1985, specializes in food import and distribution, carries about 2500 SKUs, serves supermarkets, hotels, restaurants and catering customers, and operates more than 3000 square meters of storage including modern cold rooms for chilled and frozen products. Eden Tree and Ghana Whole Foods provide stronger direct public garlic SKU evidence, while Shoprite, God Is Good Farms and other public trade-data names provide shipment-signal validation, but Kwatsons is Ghana's top-ranked contactable FCL-style route-to-market lead."
Moldova,105,2010.42,Tier 3,MOLDRETAIL GROUP SRL / Linella,1,"fresh garlic; fruits; berries; vegetables; pickles; frozen products",retailer/procurement buyer,https://linella.md/,"14505; +373 3000 1515",relatiiclienti@linella.md,,"121, Muncesti str., Chisinau, Moldova",https://linella.md/en/about_as,official website + public customs-data summary,"Official Linella pages describe the company as a one hundred percent national chain with the largest geographical extension throughout Moldova, 199 stores across the country, and Fruits, Berries, Vegetables, Pickles and Frozen products among core categories. Volza's public Moldova fresh-garlic buyer summary identifies MOLDRETAIL GROUP SRL as the top visible fresh-garlic buyer, accounting for 34 percent of Moldova's public fresh-garlic import sample with 33 shipments. Arena Fruct remains the strongest specialist produce-distribution challenger, but MOLDRETAIL/Linella is now Moldova's top-ranked lead because official national retail scale is supported by public garlic shipment evidence."
Nepal,106,1966.04,Tier 3,Agro Unicorn,1,"fresh garlic dry Chinese; fresh garlic dry Nepali; fresh vegetables and fruits",b2b grocery supplier/distributor/foodservice supplier,https://agrounicorn.com/,+977 9765002620,assist@agrounicorn.com,,"Kalimati, Kathmandu, Nepal",https://agrounicorn.com/looking-for-all-wholesale-groceries-suppliers-in-nepal/,official website,"Official Agro Unicorn pages describe the company as Nepal's fastest-growing B2B grocery supply-chain platform delivering mandi-rate groceries to restaurants, hotels, catering services, canteens and resellers. The official product list includes Fresh Garlic Dry Chinese and Fresh Garlic Dry Nepali alongside fresh vegetables and fruits. Volza exposes larger Nepal garlic shipment-signal names such as N S B Trade Suppliers, OM Sai Trade Suppliers and Rudrakshya International Trading PV, but Agro Unicorn remains Nepal's top-ranked contactable lead because it combines direct fresh-garlic SKU evidence with public phone/email and B2B foodservice positioning."
Aruba,107,1862.08,Tier 3,The Eight Continent Inc. (TEC INC.),1,"frozen foods; chilled products; dry food and beverage distribution",importer/wholesaler/distributor/foodservice supplier,https://tecaruba.com/,+297 582 1304,"info@tecaruba.com; salesmanager@tecaruba.com",Francis Angela,"Arendstraat 103, Oranjestad, Aruba",https://tecaruba.com/,official website,"Official TEC Aruba pages describe The Eight Continent Inc. as an agent, importer and local wholesale distributor serving Aruba's F&B industry, catering and retail establishments. The site says TEC reaches 96 percent of the Aruban market including hotels, supermarkets and restaurants, uses trucks for frozen and chilled products, and imports/distributes food and beverage products for foodservice and retail. Caribbean Overseas has the strongest freezer/facility evidence and PriceSmart has direct garlic and peeled-garlic SKU evidence, but TEC remains Aruba's top-ranked contactable FCL-style route-to-market lead because it combines island-wide reach, importer/distributor status and chilled/frozen logistics."
Macao,108,1812.22,Tier 3,Man Seng Food & Beverage Ltd. / Man Seng Group,1,"imported food; frozen food; chilled food; food supply services; supermarket supply",importer/wholesaler/distributor/foodservice supplier,https://www.msgmacau.com/,"(+853) 28922228; 28922623",dairy@macau.ctm.net,,"Rua do Dr L Pereira Marques Ponte Cais 6C, Porto Interior, Macau",https://www.msgmacau.com/man_seng_group.html,official website,"Official Man Seng pages describe a Macau food supplier founded in 1938 with more than 70 years of food supply experience, direct worldwide imports, and long-term partnerships with hotels, restaurants, food courts, airline foodservice, local wholesalers and retail stores. The group site says headquarters covers 39000 square meters with high/low temperature cold stores, dry warehouse, offices and cargo pier, plus more than 20 refrigerated vehicles and more than 10 trucks. Classic Fine Foods and Repertoire Culinaire are strong premium foodservice challengers, while Royal/San Miu/New Yaohan validate supermarket procurement, but Man Seng remains Macao's top-ranked contactable FCL-style lead because official sources combine island food-supply history, direct importing, cold stores and refrigerated logistics."
Belize,109,1809.98,Tier 3,Santiago Castillo Ltd.,1,"food importation; grocery distribution; wholesale and retail markets",importer/distributor/wholesaler/retailer,https://www.santiagocastilloltd.com/,+501 223-0610,Info@santiagocastilloltd.com,,"Central American Boulevard, Belize City, Belize",https://www.santiagocastilloltd.com/about,official website,"Official Santiago Castillo pages describe the company as one of Belize's largest food distributors, with food importation and distribution businesses, a 6000-product portfolio, 1000 countrywide customers, distribution centers in Belize City, Cayo, Orange Walk and Corozal, and supply to supermarket chains, wholesale markets and retail markets. The official group pages also describe Save-U's foodservice reach into restaurants, resorts and cruise ships. Nando's Wholesale, GraceKennedy Belize and Magil are strong challenger leads, but Santiago Castillo is the best-ranked Belize lead because its official evidence combines explicit food importation, nationwide distribution infrastructure, wholesale/retail markets and supermarket-chain supply."
Azerbaijan,110,1798.96,Tier 3,Baku Fruit Delivery / Global ST Group MMC,1,"fruit and vegetable import; HoReCa; packing; sales",importer/distributor/wholesaler/foodservice supplier,https://bfd.az/,+994 50 544 44 22,info@bfd.az,,"Baku, Khojasan Hwy. 58B, AZ1063, Azerbaijan",https://bfd.az/en/import,official website,"Official Baku Fruit Delivery pages state the company's main activity is annual import of fruit and vegetables to Azerbaijan throughout the whole year, with imports from the Netherlands, Turkiye, Costa Rica, South Africa, Poland, Ecuador, Morocco, Egypt, Iran, Belarus, UAE and other origins. The official import page says imported fruit and vegetables are stored in large company refrigerators and delivered fresh to clients, while the homepage identifies import, HoReCa, packing and sales activities. Agrosale is a strong fresh-vegetable and customs-clearance challenger, Bazarstore has the clearest direct public garlic and peeled-vegetable category evidence, and Veyseloglu/Azersun/Araz/Avrora/Bravo add national route-to-market scale, but Baku Fruit Delivery is the best-ranked Azerbaijan lead because official evidence combines direct year-round produce importing, refrigerated storage, HoReCa and sales."
Greenland,111,1711.31,Tier 3,Arctic Import,1,"food products; catering supplies; wholesale warehouse; Greenland supply chains",importer/wholesaler/distributor/foodservice supplier,https://arcticimport.uk/,+299 36 36 70,info@arcticimport.gl,,"Industrivej 14, 3900 Nuuk, Greenland",https://arcticimport.uk/,official website,"Official Arctic Import pages describe the company as a family-owned B2B wholesaler supplying food products as well as retail and non-food items to public and private customers in Greenland since 1978. The official site states it has access to more than 400000 unique products, a wholesale warehouse in Nuuk, offices across Nordic locations, stable North Atlantic supply chains and a full-service catering supplier division. KNI Engros/Pilersuisoq and KK Engros are strong national-scale challenger leads, but Arctic Import remains Greenland's top-ranked contactable lead because official evidence combines B2B wholesale, Greenland-specific supply-chain expertise, Nuuk warehousing, broad product access and catering-foodservice fit."
Democratic Republic of the Congo,112,1709.30,Tier 3,Elite Trading Sarl,1,"fresh fruits and vegetables; imported vegetables; refrigerated logistics",importer/distributor/wholesaler,https://elitetrading-rdc.com/en/,+243 821 722 885,info@elitetrading-rdc.com,,"Batiment Hypnose, Av. Mama Yemo, Q/Makutano, C/Lubumbashi, Lubumbashi, RD Congo",https://elitetrading-rdc.com/en/a-propos/,official website,"Official Elite Trading pages describe the company as the number one supplier of fruits and vegetables in the Democratic Republic of Congo and the leading wholesale fruit and vegetable supplier in the country. The official site states it works with local and international producers across the European Union, Morocco, Egypt, Tunisia, Zambia, South Africa, Namibia, Tanzania and Kenya, and has refrigerated-truck logistics plus more than 200 farmer partners. Socimex, Beltexco, Kenshin, Hyper Psaro/Carrefour, Kin Marche, AFRIFOOD and SO GOOD RDC are strong challenger leads, and Volza exposes larger public garlic-buyer signal names, but Elite Trading remains the top-ranked contactable DRC lead because official evidence combines direct fresh-produce leadership, imported-vegetable sourcing and cold-chain logistics."
Fiji,113,1675.92,Tier 3,Fresh'et International Limited,1,"frozen peeled garlic; fresh and frozen produce; foodservice distribution",distributor/wholesaler/foodservice supplier,https://store.freshetgroup.com/,+679 330 7898,salesretail@freshetint.com,,"26 Retriever Rd, Rokobili Subdivision, Walu Bay, Suva, Fiji",https://store.freshetgroup.com/FROZEN-Peeled-Garlic-500g-p482908108,official website,"Official Fresh'et pages state Fresh'et International Limited is a leading distributor of freshly farmed vegetables, premium frozen meats and refrigerated seafood in Fiji. The official frozen peeled garlic product page explicitly lists FROZEN Peeled Garlic 500g and the official store says Fresh'et sources from local farmers plus international buyers in Europe, Australia and New Zealand and distributes fresh and frozen goods to major hotels, supermarkets, hospitals, government sectors, military, navy, police and customers throughout Fiji. FarmBoy has direct official Fresh Garlic IMP evidence, Turners & Growers Fiji has the strongest scaled fresh-produce importer signal, and Yee's, Five Star, CJ Patel, Punjas, NewWorld, RB Patel, MH, Extra and Cost-U-Less are strong challenger route-to-market leads. Fresh'et remains the top-ranked contactable Fiji lead because official evidence combines direct garlic SKU proof with broad cold-chain and institutional redistribution."
Benin,114,1590.74,Tier 3,Kaba Group,1,"food products import-export; representation; distribution",importer/distributor/wholesaler,https://www.kababenin.group/,"+229 99 78 59 59",contact@kababenin.group,Saïd KARAM,"Marché Ganhi, Rue 2650, Cotonou, Bénin",https://www.kababenin.group/le-groupe/,official website,"Official Kaba Group pages describe the company as specializing in commercial representation and import-export and supplying African countries with food products from around the world, including Turkey. The official site states the group provides representation and distribution services and delivery across Africa, and lists CEO Saïd KARAM plus direct Cotonou contacts. CBND has stronger official storage and multinational-distribution detail, while Soulmate and Jajolinks provide direct public fresh-garlic or spices-and-garlic trade-directory signals. Kaba remains the top-ranked contactable Benin lead because it combines explicit imported-food positioning, formal representation/distribution services and direct Cotonou commercial contacts, but paid customs data is required before treating any Benin lead as the beneficial garlic importer."
"Congo, Rep.",115,1585.67,Tier 3,Regal Group Congo,1,"wholesale and retail distribution, cash and carry, supermarkets",importer/distributor/wholesaler/retailer,https://www.regal-congo.com/,"00-242-222944500",regal@regal-congo.com,,"B.P 603, Avenue Moe Vangoula Evache, Centre Ville, République du Congo",https://www.regal-congo.com/regal-distribution.html,official website,"Official Regal Group Congo pages describe Societe Regal as operating import export and wholesale and retail distribution in the Republic of Congo since 1998. The official distribution pages state the business includes supermarkets, wholesale and retail distribution and cash and carry, with locations spanning 10 stores in Brazzaville, 13 in Pointe Noire and 2 in Dolisie, and Park N Shop offers local and imported produce. Guenin has stronger frozen-food/cold-chain evidence, SOFAPRAL has public food-manufacturing and importer shipment signals, SODICO validates maritime food provisioning, and mVutu validates fresh-produce B2B distribution. Regal remains the top-ranked contactable Congo, Rep. lead because official evidence combines import-export, national supermarket footprint, wholesale/retail distribution and cash-and-carry scale, but paid customs data is required before treating any public lead as the beneficial garlic importer."
Liberia,116,1578.07,Tier 3,Harbel Supermarket Corporation,1,"importation, distribution, wholesale and retail supermarket operations",importer/distributor/wholesaler/retailer,https://harbelsupermarket.com/,"+231886511114; +231777998777; +231886260155; +231777666223; +231776660888",info@harbelsupermarket.com,,"Margibi County and multiple branches in Liberia",https://harbelsupermarket.com/,official website,"Official Harbel Supermarket pages describe the company as Liberia's premier supermarket, with primary business operations including importation, distribution, wholesale and retail supermarket operations. The official about section says the company has nine branches throughout Liberia plus wholesale outlets in Sayon Town and the Freeport of Monrovia, imports food products from many countries, and serves hotels, restaurants, NGOs, hospitals, government ministries, agencies and UN agencies in Liberia. A-Z Corporation, Abi Jaoudi & Azar, Fresh Frozen Foods Liberia, Cheaitou Brothers, Diamond Food and National Frozen Food Corporation are now strong challenger or validation targets across FMCG, cold-chain, frozen-food and public shipment-signal channels. Harbel remains the top-ranked contactable Liberia lead because official sources show broad national receiving, wholesale and institutional distribution capability, but WITS 2023 direct import data is materially below the legacy pipeline value and paid customs data is required before treating any public lead as the beneficial garlic importer."
El Salvador,117,1573.89,Tier 3,"Super Selectos / Calleja, S.A. de C.V.",1,fresh garlic,retailer/supermarket chain/import buyer,https://www.superselectos.com/,+503 2267-6767,servicioalcliente@superselectos.com.sv,,"Prolongacion 59 Av. Sur y calle El Progreso 2934, San Salvador, El Salvador",https://www.superselectos.com/nosotros,official website,"Official Super Selectos pages describe the chain as the leader in El Salvador, with more than 110 stores nationwide, presence in all 14 departments and around 5,000 active suppliers including close to 1,000 foreign suppliers. Official garlic listings on the ecommerce site show fresh garlic SKUs such as Ajo Chino Mr Garlic 456 G En Red. PriceSmart and Walmart add direct public garlic and peeled-garlic SKU evidence; DISZASA, DISNA, UDISA, Multicongelados, DIACO, Morazán, DeSantis and Distribuidores Clave now provide strong official distributor, cold-chain, foodservice and route-to-market challenger coverage. Super Selectos remains the top-ranked contactable El Salvador lead because the official sources combine national retail scale, foreign-supplier buying relationships and direct fresh-garlic evidence, but WITS 2023 reports a much larger USD 2.75M fresh-garlic import market than the legacy pipeline value, so paid customs data is required before treating any public lead as the beneficial garlic importer."
"Burkina Faso",118,1485.56,Tier 3,SODIMA SARL,1,"food products importation, distribution and warehousing",importer/distributor/wholesaler,https://sodimabf.com/,"+226 05 82 10 27; +1 404 429 7702",info@sodimabf.com,,"01 BP 3288 Bobo Dioulasso 01, Burkina Faso",https://sodimabf.com/,official website,"Official SODIMA pages describe the company as specializing in the manufacturing, importation and distribution of food products in Burkina Faso and the African sub-region. The official site says SODIMA is among the largest import and distribution companies of food products in Burkina Faso, with warehouse capacity above 50,000 tons, and its distribution service covers Burkina Faso and the wider West African sub-region. SIDAF, GECOM-BURKINA, SODIAL, Les Primeurs du Faso, HYANTA, BurkinaMarket, Marina Market, SDA, SANYA, SOKA, SANO GLOBAL and Dan Group now provide broader importer, wholesale, fresh-produce, supermarket, frozen-food and sourcing coverage. SODIMA remains the top-ranked contactable Burkina Faso lead because official evidence combines food importation, large warehousing and sub-regional distribution scale, but WITS 2023 reports a lower USD 476.72K fresh-garlic direct import value than the legacy pipeline value and paid customs data is required before treating any public lead as the beneficial garlic importer."
Tanzania,119,1435.05,Tier 3,LICO Global Company Limited,1,"spices, fresh products, import and export agricultural products",importer/distributor/wholesaler/exporter,https://lico.co.tz/,+255 750 160 116,info@lico.co.tz,,"MayFair Plaza, Office No. 16, Mwai Kibaki Road, Mikocheni, Dar es Salaam, Tanzania",https://lico.co.tz/index.php/266-2/,official website,"Official LICO Global services pages state that the company facilitates both export and import of agricultural products including spices and fresh products, and describes itself as a leading supplier of grains, spices, pulses and fresh products. The official site also says the company sources, supplies and delivers food products globally and publishes Dar es Salaam office contact details. Mountain Taste has direct public garlic processing and trading evidence, Sunvallei and Zamjoy add public fresh-garlic shipment-buyer signals, Shoppers adds direct imported-garlic retail evidence, and East Africa Fruits, Buildmart, Premium Supplies, Suvacor, Afrione, Prime Route, Canary, Med Foods and other channels now provide broader importer, foodservice, supermarket and fresh-produce coverage. LICO remains the top-ranked contactable Tanzania lead because official sources show structured import-export capability, spices/fresh-products fit and direct contact details, but paid customs data is required before treating any public lead as the beneficial garlic importer."
Monaco,120,1395.69,Tier 3,Monafrais,1,"oils, herbs and spices; gourmet food delivery",importer/distributor/wholesaler/provisioner,https://monafrais.com/en/,+377 97 98 71 02,ordini@monafrais.mc,,"Gildo Pastor Center, 7 Rue du Gabian, MC 98000 Monaco",https://monafrais.com/en/about-us/,official website,"Official Monafrais pages describe the company as based in Monaco and providing tailored delivery services to fine dining restaurants, gourmet shops, luxury yachts and prestigious villas. The official site says Monafrais has more than 40 years of food-industry experience, supplies chefs daily, and that its Monaco headquarters warehouse holds more than 300 products ready for delivery. The official category pages also include oils, herbs and spices. Maison del Gusto, Just Provisions, Catalano, Les Primeurs Monégasques, Monaco Trade, Loxer, Carrefour, Marché U, SPAR, Fairmont and Le Méridien now provide broader Monaco-based yacht, fresh-produce, wholesale, supermarket and HORECA challenger coverage. Monafrais remains the top-ranked contactable Monaco lead because official sources combine professional provisioning, warehouse-backed readiness, herbs/spices fit and daily chef/yacht/villa demand, but paid customs data is required before treating any Monaco public lead as the beneficial garlic importer."
Burundi,121,1360.07,Tier 3,MARIMBU,1,"food products importation and redistribution",importer/distributor/wholesaler,https://www.marimbu.com/,+257-222-11272,contact@marimbu.com,,"Quartier asiatique, Bujumbura, Burundi",https://www.marimbu.com/,official website,"Official MARIMBU pages describe the company as a family-owned house of redistribution and importation in Africa, incorporated in Burundi in 1994. The official site says the business mainly imports and sells food products, operates through distribution warehouses, and uses its networks to satisfy customer demand for products such as maize, rice and sugar. WITS 2023 public data shows Burundi fresh/chilled garlic imports of USD 214.76K and 98,980 kg, mostly supplied by Tanzania, while public Volza dry-garlic snippets expose buyer names that still need paid-data validation. Kilakitu, Burundi Shop, Burundi Fortified Foods, Taste Burundi, Fruito Burundi, Baza, Rehema Shop, Elite Enterprises, Au Bon Prix, Google Supermarket, Sun city store/Pride of Burundi, Home World, Fatima, Boucherie Nouvelle, BMC, Hobe, Casino, Kigobe and Sam grocery now provide broader Burundi supermarket, grocery-platform, processor, foodservice and wholesale route coverage. MARIMBU remains top-ranked because it is the strongest official-source food-import and redistribution lead; paid customs data is required before treating any Burundi public lead as the beneficial garlic importer."
"Hong Kong, China",122,1328.57,Tier 3,The Food Source Ltd.,1,"direct import and distribution of specialty foods",importer/distributor/wholesaler,https://www.foodsource.com.hk/en/,"+(852) 3422 8718",info@foodsource.com.hk,,"Unit B, 2/F, Dragon Ind. Bldg., 93 King Lam St., Lai Chi Kok, Kowloon, Hong Kong",https://www.foodsource.com.hk/en/aboutus/ourstory/ourstory/,official website,"Official The Food Source pages describe the company as a professional food importer and distributor based in Hong Kong, with distribution coverage across Hong Kong, Macau and major cities in mainland China. The official site says it directly imports and exclusively distributes high-quality specialty foods and serves upscale restaurants, hotels, supermarkets, convenience stores, fast-food chains, bakeries and dessert manufacturers, with sourcing from more than 30 countries. WITS 2023 public data shows a smaller direct fresh/chilled garlic import signal than the legacy pipeline value, while China mirror-export and public Volza snippets point to larger garlic movement that needs paid-data reconciliation. Wing Kee, DCH Foods, Sims, Angliss, Classic Fine Foods, Foodgears, Lamex, Fresh Channels, C.Y. Food Trading, Wellcome, city'super, Kai Bo, PURE FRESH, Win Fresh, Unionsum, FoodCraft and Team River now provide broader Hong Kong fresh-produce, foodservice, supermarket, peeled-garlic and frozen/processed route coverage. The Food Source remains top-ranked because official evidence combines direct import, exclusive distribution, global sourcing, contactability and institutional channels; paid customs data is required before treating any public lead as the beneficial containerized garlic importer."
Samoa,123,1299.14,Tier 3,Ah Liki Investment / Ah Liki Wholesale,1,"food distribution, foodstuff, supermarkets, farms and food manufacturing",importer/distributor/wholesaler/retailer/processor,https://www.ahliki.com/,"(+685) 8008000",info@ahliki.com,,"Vaitele Industrial Zone, 1 Fana'io Street, Vaitele, Apia, Samoa",https://www.ahliki.com/services,official website,"Official Ah Liki pages describe the company as a Samoa-based food distribution, manufacturing, agriculture and retail group with more than two decades in operation and a supply-chain network servicing the entire Samoan market. The official services page says Ah Liki Wholesale offers bulk food, foodstuff and non-food items sourced globally for all business sizes and industries, serves retail stores, hotels, resorts and catering services, operates Farmer Joe Supermarkets, and has food manufacturing under Krissy Co. WITS 2023 public data shows Samoa fresh/chilled garlic imports of USD 242.27K and 157,181 kg, led by China at USD 171.36K and 85,642 kg, materially below the legacy pipeline value. Frankie, SSAB, Gounders, Chan Mow, Farmer Joe, Lucky Foodtown, Lynn's, Myna's, Mariyon, Maota, Fugalei Market, Maua, Sheraton, Taumeasina, Lava, Seabreeze, Sinalei and Tanoa now provide broader retail, wholesale, produce, marketplace and hospitality demand coverage. Ah Liki is top-ranked because official evidence combines wholesale food distribution, global sourcing, supermarket ownership, manufacturing, farms and institutional customer reach; paid customs data is required before treating any public lead as the beneficial containerized garlic importer."
Curacao,124,1220.20,Tier 3,Hector Henriquez B.V.,1,"food distribution, food services, institutional services",importer/distributor/wholesaler/foodservice supplier,https://hhb.cw/,+599 9 841-4100,info@hhb.cw,,"Caracasbaaiweg 38, Willemstad, Curaçao",https://hhb.cw/,official website,"Official Hector Henriquez B.V. pages describe the company as a dedicated distributor of branded consumer products in Curaçao with separate Food, Non-Food and Food Services divisions. The official site states that its food service department supplies restaurants, hotels and fast food chains, while its institutional service distributes products according to client requirements. Curaçao Foods Trade, EWT, Pietersz, DeliNova, Marquis, Barentz/Deltagen, Goisco, Van den Tweel, Centrum, Mangusa, Carrefour, Orzal Fruits, Fresh Prods and Logistics, Carrot Export Foods & Drinks, FUIK, Salty Seafood, Bon Bini and Arcos Dorados/McDonald's now provide broader Curaçao distribution, fresh-produce import, supermarket, foodservice, frozen/chilled and shipment-signal coverage. Hector Henriquez remains top-ranked because official evidence combines food distribution, foodservice, institutional service, direct contactability and long-standing local route-to-market coverage; paid customs data is required before treating any public lead as the beneficial containerized garlic importer."
Djibouti,125,1211.04,Tier 3,BMMI Djibouti,4,"food and household goods; FMCG; global sourcing and supply",importer/distributor/wholesaler/institutional supplier,https://www.bmmigroup.com/,+253 21 320 600,ykallouche@BMMI.com.bh,,"Warehouse No. 1, Djibouti Free Zone, PO Box 795, Djibouti",https://www.bmmigroup.com/contact-us/office-directory/,official website,"Official BMMI pages describe the group as a diversified retail, distribution, hospitality, contract-services and supply group with food-and-beverage wholesale, distribution and retail activities, and the official office directory publishes a Djibouti Free Zone warehouse office with direct phone and email. WITS 2023 public data shows Djibouti fresh/chilled garlic imports of USD 754.18K and 2.15M kg, mostly Ethiopia-supplied, while Volza and other public shipment snippets identify Xuefeng Import Export SARL, Nimsam Kashi, Kheyredin Trading Company, Groupe Al Gamil, Horn & Holland and related fresh-produce buyers as garlic or HS 07 validation targets. World Link, Coubeche, Al Gamil, Nougaprix, Casino, Cash Center, Djibouti Fresh, Djibah Seafood, Belayab Foods, Ayla, Chicking, DWO AGRO, Baraka, Share Gelleh and SMD now provide broader Djibouti distribution, supermarket, foodservice, processor and fresh-produce coverage. BMMI is top-ranked because it is the strongest official-source contactable importer-distributor platform, but paid customs data is required before treating any public lead as the beneficial garlic importer."
"Papua New Guinea",126,1210.15,Tier 3,BNG Trading Co. Ltd.,4,"grocery products; food and beverage; frozen products; nationwide foodservice and wholesale",importer/distributor/wholesaler,https://www.bngtrading.com.pg/,+675 303 6500,sales.pom@bngtrading.com.pg,,"Section 52 Lot 23 Varahe Road, Gordons, NCD, PO Box 148, Port Moresby, Papua New Guinea",https://www.bngtrading.com.pg/about-bng-trading-co/,official website,"Official BNG pages describe the company as importing and distributing a wide variety of foods and consumer products, managing international brand names across grocery food and beverage categories, and supplying more than 600 outlets nationwide including grocers, retailers, wholesalers, foodservice companies, hotels, restaurants, cafes, bakeries and mining camps. BNG's Papua Niugini Freezers division adds nationwide cold-chain distribution and major supermarket, hotel, restaurant and mining-camp supply. Food Pro, SVS, AD Commodities, Pacific Industries, NKW Fresh, Goodman Fielder, Rabtrad, Seeto Kui, Ling's Freezer, TST, RH Trading, Taylor Pacific/Stop & Shop, Raumai, Waterfront Foodworld, Boroko Foodworld, IFC, Trukai and Lae Biscuit now provide broader importer-distributor, wholesale, supermarket, fresh-produce, cold-chain, foodservice and processor coverage. BNG is top-ranked because official evidence combines national grocery import/distribution, outlet reach, institutional channels and cold-chain capability, but paid customs data is required before treating any public lead as the beneficial fresh-garlic importer."
Gabon,127,1166.40,Tier 3,Prix Import,4,"fresh products; dry foods; wholesale supermarket supply; direct imports",importer/distributor/wholesaler/supermarket operator,https://www.priximport.com/,"+241 11 72 46 76; +241 11 72 46 52",commercial@priximport.com,,"Z.I. Oloumi, BP 2176, Libreville, Gabon",https://www.priximport.com/index.php/grande-distribution/,official website,"Official Prix Import pages describe a wholesale business in Libreville's industrial zone with 10,000 m2 of warehousing, a showroom where wholesale customers replenish their stores, and itinerant sales across Libreville. The official contact page publishes Z.I. Oloumi headquarters, phone, fax and commercial email details. Public profiles further identify Prix Import as an import and large-scale distribution company handling fresh and dry foods, gros/demi-gros/détail, 9 supermarkets, brand agencies and significant container sourcing. SUPERGEL, SANgel, CECA-GADIS, CEDICOM, FOBERD, GAREP, CMB, HM Distribution, REGABON, SIPAGEL, Resto Group, SIGALLI, Uncle Sam, Sundeep, GABFOOD, Servair and Surgiprox now provide broader Gabon frozen, cold-chain, cash-and-carry, supermarket, foodservice and distributor coverage. Prix Import is top-ranked because public evidence combines direct import, wholesale, supermarkets, warehousing, fresh-food coverage and contactability; paid customs data is still required before treating any public lead as the beneficial fresh-garlic importer."
